Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,6.58,0.302197802,3.96,2.156,30.79,2.6,
DM,10.02,0.258064516,6.24,3.205,50.3,3.176470588,
DM,8.91,0.220164609,4.36,2.782,40.45,3.196261682,
DM,9,0.220216606,5.84,2.792,41.73,3.319672131,
DM,7.97,0.236625514,4.66,2.626,39.03,2.956521739,
DM,,,0.8,,,,
DM,,0.132743363,,0.43,,2.733333333,
DM,1.004,0.047058824,0.62,0.44,9.7,3.3,
DM,0.97,0.109625668,1.11,0.39,10.2,2.048780488,
DM,1.467,0.156334232,1.21,1.17,14,1.827586207,
DM,0.302,0.082568807,0.44,0.13,1.71,1.888888889,
DM,0.299,0.126436782,0.39,0.1,2.07,1.181818182,
DM,0.282,0.094117647,0.18,0.02,1.81,1.25,
DM,0.807,0.161725067,0.7,0.5,9.57,0.7,
DM,3.278,0.271863118,2.76,1.88,32.5,1.692307692,
DM,1.4,0.030769231,2.9,0.3,3.7,0.833333333,
DM,2.374,0.142361111,2.5,0.9,14.62,3.341463415,
DM,1.6,0.111111111,3.4,0.8,6.1,2.125,
DM,2.3,0.162790698,6.4,1.2,18.9,5,
DM,1.636,0.09127789,1.94,2.69,15.4,3.088888889,
DM,1.9,0.128571429,5.3,1.4,10.7,3.555555556,
DM,3.7,0.181818182,4.7,2.2,17.4,2.6,
DM,8.9,0.209876543,8.2,5.1,49.2,3.352941176,
DM,0.83,0.018867925,1.34,0.26,0.85,7.833333333,
DM,10.1,0.222222222,8.2,5.7,55.9,3.722222222,
DM,4.9,0.204081633,5.2,3.5,24.8,3.1,
DM,1.2,0.090909091,2.9,0.2,4.4,1.4,
DM,4.5,0.294117647,5.5,3.3,21.1,3.2,
DM,3.1,0.170731707,3.9,1.2,12.2,2.714285714,
DM,18.3,0.323809524,14.1,10.6,108.5,3.764705882,
DM,9.6,0.456521739,8.3,6.6,57.3,3.380952381,
DM,2.3,0.128205128,3.2,1.4,9.3,2.6,
DM,2,0.1,3.1,1.1,8.7,3,
DM,2.83,0.727272727,0.05,1.29,14.98,16.9875,
DM,3.09,0.5625,0.05,0.5,18.6,1.655555556,
DM,0.916,0.014778325,1.84,0.17,6.34,3.833333333,
DM,4,0.34375,4.6,2.5,16,2.636363636,
DM,2.1,0.104166667,3.7,1.3,6,2.8,
DM,,0.429530201,38.6,32.8,447,3.4296875,
DM,5.53,0.107843137,6.18,7.57,94.66,3.727272727,
DM,3.15,0.166666667,4.64,3.59,49.3,2.090909091,
DM,4.99,0.103448276,5.64,6.37,82.09,3.083333333,
DM,2.68,0.19047619,4.64,2.61,32.73,2.333333333,
DM,2.93,0.2,4.87,2.06,30.26,1.529411765,
DM,2.69,0.114583333,4.57,2.19,33.13,2.727272727,
DM,2.26,0.107142857,4.23,2.88,18.86,3.5,
DM,5.22,0.776315789,6.99,6.96,60.8,0.762711864,
DM,2.72,0.246376812,4.92,2.34,31.99,1.470588235,
DM,0.79,0.285714286,2.59,1.53,6.99,0.571428571,
DM,3.45,0.149253731,4.97,4.22,48.04,2.6,
DM,1.01,0.161290323,2.29,7.69,39.64,1,
DM,2,0.111111111,4.55,2.3,23,2.857142857,
DM,1.15,0.078431373,2.34,17.09,31.55,2,
DM,3.72,0.155172414,4.89,3.46,44.09,3.111111111,
DM,13.54,0.240384615,10.53,11.16,138.8,4.28,
DM,8,0.281690141,7.35,7.02,88.51,2.75,
DM,16.38,0.32,12.47,16.93,254.69,4.6875,
DM,18.45,0.407407407,12.38,8.64,123.68,2.613636364,
DM,3.25,0.166666667,4.83,1.74,8.37,1.666666667,
DM,1.46,0.0875,2.25,0.53,7.3,3.380952381,
DM,4.4,0.257142857,3.31,9.19,22,3.111111111,
DM,14.5,0.344086022,10.3,9,84.9,3.59375,
DM,,,,2.26,,,
DM,1.84,0.046296296,2.54,1.59,14.24,3,
DM,0.88,0.088495575,1.68,2.6,5.21,0.7,
DM,1.37,0.046296296,2.23,0.64,4.84,2.2,
DM,1.45,0.036036036,2.21,1.62,12.15,2.75,
DM,1.18,0.077669903,2.08,1.96,7.48,1.125,
DM,1.13,0.025,2.1,0.68,7.34,2.25,
DM,1.54,0.036697248,2.25,1.1,14.43,3,
DM,1.58,0.063492063,2.34,4.48,16.89,1.625,
DM,1.34,0.038834951,1.93,3.38,10.66,2.5,
DM,1.02,0.044642857,1.59,2.38,9.06,1.6,
DM,,,3.45,,,,
DM,1.04,0.094170404,2.16,0.789,5.67,2.357142857,
DM,1.01,0.096982759,2.08,0.792,5.93,2.266666667,
